TSP_10_1.dat,10,1 sec,0.2577 sec,Optimal,42.1044
TSP_10_2.dat,10,1 sec,0.2497 sec,Optimal,40.5850
TSP_10_3.dat,10,1 sec,0.2306 sec,Optimal,39.9835
TSP_10_4.dat,10,1 sec,0.2850 sec,Optimal,40.8729
TSP_10_5.dat,10,1 sec,0.2702 sec,Optimal,39.6283
TSP_10_6.dat,10,1 sec,0.2279 sec,Optimal,39.2479
TSP_10_7.dat,10,1 sec,0.2481 sec,Optimal,41.6571
TSP_10_8.dat,10,1 sec,0.3347 sec,Optimal,41.3277
TSP_10_9.dat,10,1 sec,0.2816 sec,Optimal,41.7131
TSP_25_1.dat,25,1 sec,1.0065 sec,Feasible,118.4207
TSP_25_1.dat,25,10 sec,1.4000 sec,Optimal,117.5848
TSP_25_2.dat,25,1 sec,0.7831 sec,Optimal,114.5453
TSP_25_3.dat,25,1 sec,1.0128 sec,Feasible,116.3888
TSP_25_3.dat,25,10 sec,1.2669 sec,Optimal,116.3888
TSP_25_4.dat,25,1 sec,0.9641 sec,Optimal,116.8552
TSP_25_5.dat,25,1 sec,1.0213 sec,Feasible,116.2516
TSP_25_5.dat,25,10 sec,1.0392 sec,Optimal,114.5004
TSP_25_6.dat,25,1 sec,1.0104 sec,Feasible,137.8108
TSP_25_6.dat,25,10 sec,1.6192 sec,Optimal,109.9704
TSP_25_7.dat,25,1 sec,0.6487 sec,Optimal,113.8732
TSP_25_8.dat,25,1 sec,0.3907 sec,Optimal,109.9128
TSP_25_9.dat,25,1 sec,0.6006 sec,Optimal,124.9924
TSP_50_1.dat,50,1 sec,1.0174 sec,Feasible,196.0226
TSP_50_1.dat,50,10 sec,4.2766 sec,Optimal,146.0800
TSP_50_2.dat,50,1 sec,1.0107 sec,Feasible,419.2273
TSP_50_2.dat,50,10 sec,8.1265 sec,Optimal,144.3220
TSP_50_3.dat,50,1 sec,1.0087 sec,Feasible,464.6008
TSP_50_3.dat,50,10 sec,6.5681 sec,Optimal,146.3909
TSP_50_4.dat,50,1 sec,1.0131 sec,Feasible,181.4801
TSP_50_4.dat,50,10 sec,6.0332 sec,Optimal,138.1332
TSP_50_5.dat,50,1 sec,1.0103 sec,Feasible,356.3201
TSP_50_5.dat,50,10 sec,5.8066 sec,Optimal,136.5960
TSP_50_6.dat,50,1 sec,1.0116 sec,Feasible,478.9975
TSP_50_6.dat,50,10 sec,5.5610 sec,Optimal,145.1683
TSP_50_7.dat,50,1 sec,1.0133 sec,Feasible,498.5362
TSP_50_7.dat,50,10 sec,10.0246 sec,Feasible,130.2013
TSP_50_7.dat,50,30 sec,12.1113 sec,Optimal,130.2013
TSP_50_8.dat,50,1 sec,1.0123 sec,Feasible,467.8946
TSP_50_8.dat,50,10 sec,5.6500 sec,Optimal,135.8707
TSP_50_9.dat,50,1 sec,1.0136 sec,Feasible,469.0935
TSP_50_9.dat,50,10 sec,5.8418 sec,Optimal,134.6858
TSP_75_1.dat,75,1 sec,1.0097 sec,Feasible,1459.4778
TSP_75_1.dat,75,10 sec,10.0514 sec,Feasible,507.3574
TSP_75_1.dat,75,30 sec,30.0223 sec,Feasible,450.7407
TSP_75_1.dat,75,60 sec,37.2917 sec,Optimal,450.5143
TSP_75_2.dat,75,1 sec,1.0155 sec,Feasible,1150.0906
TSP_75_2.dat,75,10 sec,10.0691 sec,Feasible,478.0992
TSP_75_2.dat,75,30 sec,30.0389 sec,Feasible,474.8855
TSP_75_2.dat,75,60 sec,56.4847 sec,Optimal,418.8488
TSP_75_3.dat,75,1 sec,1.0196 sec,Feasible,1206.3164
TSP_75_3.dat,75,10 sec,10.1449 sec,Feasible,571.3963
TSP_75_3.dat,75,30 sec,30.0226 sec,Feasible,534.4228
