100
3.75 3.75
71.25 3.75
3.75 71.25
71.25 71.25
18.218 70.297
7.597 39.632
54.133 8.02
47.187 42.392
45.801 44.791
43.031 44.791
41.645 42.392
43.031 39.992
45.801 39.992
73.093 60.666
71.348 59.943
70.625 58.198
71.348 56.453
73.093 55.731
52.205 8.346
37.469 8.257
39.822 8.257
39.822 9.718
37.469 9.718
58.731 48.354
42.338 55.729
44.352 23.015
18.547 25.946
16.777 28.382
13.913 27.452
13.913 24.441
16.777 23.51
42.244 64.198
44.155 64.198
44.155 67.002
42.244 67.002
73.883 27.812
71.95 25.878
73.883 23.945
61.445 32.243
64.613 32.243
64.613 33.249
61.445 33.249
35.765 24.315
32.696 27.384
29.628 24.315
32.696 21.247
2.41 16.593
72.776 1.378
72.298 2.37
71.224 2.616
70.362 1.929
2.024 62.449
9.01 62.449
9.01 64.604
2.024 64.604
26.758 15.871
25.782 17.896
23.591 18.396
21.834 16.995
21.834 14.747
23.591 13.346
25.782 13.846
56.795 44.322
59.732 44.322
59.732 48.5
56.795 48.5
15.121 64.62
72.38 3.012
73.684 3.012
73.684 5.023
72.38 5.023
73.032 3.012
73.684 4.018
73.032 5.023
72.38 4.018
65.694 40.174
66.873 40.174
66.873 41.675
65.694 41.675
34.033 25.152
20.272 48.028
44.632 45.347
47.526 45.347
47.526 47.385
44.632 47.385
53.836 18.107
7.14 9.334
18.246 29.164
37.899 27.859
60.685 55.469
62.264 55.469
62.264 60.51
60.685 60.51
61.474 55.469
62.264 57.989
61.474 60.51
60.685 57.989
19.996 70.08
39.852 27.772
34.102 43.271
