50
1.25 1.25
23.75 1.25
1.25 23.75
23.75 23.75
15.703 23.104
20.326 23.104
4.76 23.711
9.231 23.711
19.261 8.273
21.956 8.273
21.956 12.832
19.261 12.832
4.323 21.778
16.15 8.328
8.514 9.721
14.177 6.608
18.443 6.608
18.443 8.742
14.177 8.742
15.851 2.008
8.494 17.062
14.366 7.147
10.958 18.172
14.241 7.341
17.425 12.756
19.908 12.756
19.908 19.926
17.425 19.926
14.171 16.085
18.864 16.927
3.527 1.462
20.465 8.807
17.414 18.27
23.116 10.552
23.116 13.508
16.324 3.59
6.879 9.106
11.185 9.106
11.185 12.095
6.879 12.095
7.249 3.812
4.847 7.118
8.647 16.094
19.72 19.704
12.203 19.971
15.201 19.971
18.003 19.965
14.054 11.795
14.586 14.606
11.676 17.777
